"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","class","producer","data_arc","first_obs","last_obs","condition_code","rms","two_body","A1","A2","A3","DT"
2340048,"340048 (2005 VT5)",340048,,,Y,N,19.10,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2610,1.45,1.072,19.54,221.81,319.47,213.51,1.83,0.5645,2460260.01,2023-11-11.5,638,1.75,0.112,43.7,3.18,AMO,"Otto Matic",5850,2005-11-06,2021-11-12,0,.60831,,,,,
2340291,"340291 (2006 CV)",340291,,,Y,N,19.91,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.3819,1.146,0.708,20.20,330.39,284.64,247.45,1.58,0.8033,2460140.62,2023-07-15.1,448,1.23,0.0591,23,3.61,APO,"Otto Matic",6184,2006-02-03,2023-01-09,0,.58623,,,,,
2340666,"340666 (2006 RO36)",340666,,,Y,N,17.82,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2313,0.9064,0.697,23.85,270.93,261.17,160.69,1.12,1.142,2459859.81,2022-10-07.3,315,0.863,0.112,43.5,3.98,ATE,"Otto Matic",5507,2006-09-15,2021-10-13,0,.39251,,,,,
2341050,"341050 (2007 HZ)",341050,,,Y,N,20.42,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.1426,1.329,1.140,7.42,208.31,259.13,206.51,1.52,0.6432,2460239.13,2023-10-21.6,560,1.53,0.202,78.5,3.57,AMO,"Otto Matic",13586,1984-04-05,2021-06-16,0,.52018,,,,,
2341816,"341816 (2007 YK)",341816,,,Y,N,17.55,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.3217,1.87,1.269,31.84,132.83,281.44,10.64,2.47,0.3854,2459972.90,2023-01-28.4,934,2.56,0.499,194,3.17,AMO,"Otto Matic",7228,2002-12-14,2022-09-28,0,.52793,,,,,
2341843,"341843 (2008 EV5)",341843,,,Y,Y,20.07,,,,,,,0.40,,0.137,3.725,,2460000.5,60000,2023-02-25.0,J2000,0.0835,0.9583,0.878,7.44,93.37,235.05,154.94,1.04,1.051,2459853.03,2022-09-30.5,343,0.938,0.0131,5.1,4.05,ATE,"Otto Matic",5371,2008-03-04,2022-11-17,1,.26715,,,,,
2342866,"342866 (2008 YU32)",342866,,,Y,Y,20.24,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.5955,1.537,0.622,3.41,232.58,83.98,192.39,2.45,0.5171,2460324.62,2024-01-15.1,696,1.91,0.00622,2.42,2.88,APO,"Otto Matic",1954,2008-12-31,2014-05-08,0,.56152,,,,,
2343098,"343098 (2009 DV42)",343098,,,Y,N,18.66,,,,,,,,,,9.658,,2460000.5,60000,2023-02-25.0,J2000,0.2751,1.615,1.171,19.93,116.99,343.85,340.70,2.06,0.4803,2460040.68,2023-04-06.1,750,2.05,0.194,75.5,3.1,AMO,"Otto Matic",17124,1975-11-27,2022-10-15,0,.49858,,,,,
2343158,"343158 Marsyas (2009 HC82)",343158,Marsyas,,Y,N,16.27,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.8065,2.527,0.489,154.36,295.46,298.96,202.06,4.57,0.2453,2460644.39,2024-11-29.8,1.47e+03,4.02,0.148,57.6,1.92,APO,"Otto Matic",6319,2004-03-18,2021-07-06,0,.54415,,,,,
2343166,"343166 (2009 SO103)",343166,,,Y,N,17.46,,,,,,,0.670,,0.431,,,2460000.5,60000,2023-02-25.0,J2000,0.6638,2.004,0.674,29.49,194.65,304.66,208.53,3.33,0.3475,2460436.34,2024-05-05.8,1.04e+03,2.84,0.147,57.3,2.31,APO,"Otto Matic",7322,2000-09-27,2020-10-14,0,.49169,,,,,
2344074,"344074 (1997 UH9)",344074,,,Y,N,18.98,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4748,0.83,0.436,25.49,42.39,180.91,345.97,1.22,1.303,2460011.26,2023-03-07.7,276,0.756,0.223,86.6,3.75,ATE,"Otto Matic",9168,1997-10-29,2022-12-05,0,.41202,,,2.7e-14,,
2344076,"344076 (1998 HJ3)",344076,,,Y,Y,18.95,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.7462,1.986,0.504,6.56,223.56,94.21,286.18,3.47,0.3521,2460210.17,2023-09-22.6,1.02e+03,2.8,0.0109,4.25,1.95,APO,"Otto Matic",5326,1998-04-19,2012-11-17,0,.55517,,,,,
2344133,"344133 (2000 AD6)",344133,,,Y,N,18.64,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4233,2.213,1.277,30.05,112.78,335.21,20.46,3.15,0.2993,2459932.14,2022-12-18.6,1.2e+03,3.29,0.319,124,2.14,AMO,"Otto Matic",8440,2000-01-04,2023-02-12,0,.46584,,,,,
2344143,"344143 (2000 JQ3)",344143,,,Y,N,18.35,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4848,2.466,1.270,7.76,54.68,218.39,305.82,3.66,0.2546,2460213.34,2023-09-25.8,1.41e+03,3.87,0.269,105,1.51,AMO,"Otto Matic",6936,2000-03-29,2019-03-26,0,.57519,,,,,
2344756,"344756 (2003 VO2)",344756,,,Y,N,20.81,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.1006,1.315,1.183,7.12,268.61,229.03,202.22,1.45,0.6534,2460241.97,2023-10-24.4,551,1.51,0.215,83.8,3.57,AMO,"Otto Matic",6568,2003-11-14,2021-11-07,1,.53496,,,,,
2345646,"345646 (2006 TN)",345646,,,Y,N,19.74,,,,,,,0.413,,0.117,3.05,,2460000.5,60000,2023-02-25.0,J2000,0.3452,1.562,1.023,17.28,24.30,131.75,31.23,2.10,0.5051,2459938.66,2022-12-25.1,713,1.95,0.0978,38.1,2.94,AMO,"Otto Matic",5268,2006-09-16,2021-02-17,0,.4613,,,,,
